docid,firstpub,date,birthdate,recept,genretags,enumcron,nationality,gender,author,title
mdp.39015078549667,1790,1790,1790,,fic,v.1,,,"Defoe, Daniel,","The life and adventures of Robinson Crusoe, of York, mariner"
nyp.33433075821888,1797,1797,1797,,fic,v. 1,,,"Le Sage, Alain René,",The adventures of Gil Blas of Santillane
nnc1.0113413392,1797,1797,1797,,fic,v.3,,,,Memoirs of Mrs. Margaret Leeson
njp.32101072911959,1796,1796,1796,,fic,vol. 2,,,"Auvigny,",Memoirs of Madame de Barneveldt [pseud.]
MoreHCR28fic,1796,1796,1745,,fic,,,,"More, Hannah,",CHEAP REPOSITORY. THE HISTORY OF CHARLES JONES The FOOTMAN. WRITTEN by HIMSELF.
uc2.ark+=13960=t90864w4j,1798,1798,1798,,fic,v.10,,,"Sterne, Laurence,",The works of Laurence Sterne
nyp.33433075821896,1797,1797,1797,,fic,v. 2,,,"Le Sage, Alain René,",The adventures of Gil Blas of Santillane
mdp.39015078565473,1800,1800,1800,,fic,,,,"Swift, Jonathan,","The travels of Lemuel Gulliver, into several remote nations of the world;"
nyp.33433074968227,1801,1801,1801,,fic,,,,"Disraeli, Isaac,",Romances
uc1.b278751,1803,1803,1803,,fic,v.1,,,"Montjoye,",D'Aveyro;
dul1.ark+=13960=t4vh67297,1802,1802,1802,,fic,v.2,,,"Grafigny,",Letters of a Peruvian princess
nyp.33433074955364,1803,1803,1803,,fic,,,,"Reeve, Clara,",The two mentors
njp.32101068167186,1801,1801,1801,,fic,vol.2,,,"Dallas, Robert Charles,",Percival
nyp.33433087358531,1807,1807,1807,,fic,v. 5,,,,"Classic tales, serious and lively"
nyp.33433075798169,1807,1807,1807,,fic,,,,,The memoirs of Charles Westcote
mdp.39015063950250,1806,1806,1806,,fic,v.3,,,"Radcliffe, Ann Ward,",The mysteries of Udolpho
uiuo.ark+=13960=t9474p035,1805,1805,1805,,fic,v.1,,,"Charlton, Mary.",The homicide
uc1.b287480,1809,1809,1809,,fic,v. 1,,,"Moore, Thomas George.",The bachelor
uva.x000980249,1807,1807,1807,,fic,V.3,,,"Rabelais, François,",The works of Francis Rabelais
uiuo.ark+=13960=t6tx3wm62,1810,1810,1810,,fic,v.4,,,"Walsh,","The officer's daughter; or, A visit to Ireland in 1790"
nyp.33433075723415,1812,1812,1812,,fic,v. 1,,,"Watson,","Rosamund, countess of Clarenstein"
uc1.b112745,1811,1811,1811,,fic,v.4,,,"Mason, William,",The works of William Mason
uiuo.ark+=13960=t0zp4j72m,1811,1811,1811,,fic,v.3,,,Lady.,Julia de Vienne
nyp.33433075769988,1810,1810,1810,,fic,v. 3-4,,,"Porter, Anna Maria,",Don Sebastian;
njp.32101007065988,1814,1814,1814,,fic,vol.2,,,"Brunton, Mary,",Discipline;
pst.000007344923,1817,1817,1817,,fic,v.1,,,"Aulnoy,",Fairy tales and novels
uc2.ark+=13960=t6qz25r28,1816,1816,1816,,fic,v.2,,,"Espinel, Vicente,",The history of the life of the Squire Marcos de Obregon
uiuo.ark+=13960=t8gf19s26,1816,1816,1816,,fic,v.2,,,"Lamb, Caroline,",Glenarvon
uc2.ark+=13960=t9571c728,1816,1816,1816,,fic,v.01,,,"Ryley, S. W.",The itinerant;
uiuo.ark+=13960=t0ht3921z,1818,1818,1818,,fic,v.3,,,"Stanhope, Louisa Sidney.","The bandit's bride, or, The maid of Saxony. A romance"
nyp.33433074868542,1816,1816,1816,,fic,v. 2,,,"Hofland,",The affectionate brothers
mdp.39015065596887,1824,1824,1824,,fic,v.1,,,"Scott, Walter,",St. Ronan's well
nyp.33433075743546,1822,1822,1822,,fic,v. 2,,,"Scott, Walter,",The pirate
hvd.32044086796158,1822,1822,1822,,fic,v.1,,,"Anley, Charlotte.",Influence;
uc2.ark+=13960=t84j0kq44,1820,1820,1820,,fic,,,,"Brydges, Egerton,",Sir Ralph Willoughby
