volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,author,title,genretags
11681,1941,1941,1902,1941,f,uk,15.92087977734285,0.440063841595,random,1,"Heyer, Georgette,",Faro's daughter,teamred | chirandom
11703,1942,1942,1890,1942,f,uk,11.215346025098112,0.821030414997,detective,1,"Christie, Agatha,",Five little pigs,cozy | chirandom | teamblack | stew | chimyst
11709,1942,1942,1895,1942,f,nz,12.476617804888825,0.985763622829,detective,1,"Marsh, Ngaio,",A man lay dead,cozy | chirandom | teamblack | chimyst
11724,1943,1943,1905,1943,m,uk,14.253092339660487,0.0567921467934,random,1,"Green, Henry,",Caught,chirandom | teamblack
11730,1943,1943,1895,1943,f,nz,11.913987057889482,0.567444722405,detective,1,"Marsh, Ngaio,",Colour scheme,teamred | chirandom | cozy | chimyst
11736,1943,1943,1878,1943,f,uk,11.565010317542297,0.963758848052,detective,1,"Wentworth, Patricia,",Miss Silver deals with de,teamred | chirandom | chimyst
11803,1946,1946,1899,1946,m,uk,13.25861276668492,0.018905645211,random,1,"Forester, C. S.",Lord Hornblower,chirandom | teamblack
11809,1946,1946,1905,1946,m,uk,12.953975460945745,0.00930606526303,random,1,"Koestler, Arthur,",Thieves in the night,chirandom | teamblack
11829,1947,1947,1895,1947,m,uk,13.73874807153274,0.065795181678,random,1,"Hartley, L. P.",Eustace and Hilda,chirandom | teamblack
11836,1947,1947,1897,1947,f,uk,11.477349075802708,0.00795567489536,random,1,"Robins, Denise,",More than love,teamred | chirandom
11860,1948,1948,1901,1948,f,uk,14.007247562227755,0.857600342085,detective,1,"Mitchell, Gladys,",The Dancing Druids,chimyst | teamblack
11877,1949,1949,1890,1949,f,uk,11.2719937725816,0.87950835881,detective,1,"Christie, Agatha,",Crooked house,teamred | chirandom | cozy | chimyst
11882,1949,1949,0,1949,,uk,12.537659569406221,0.78097511711,detective,1,"Ferrars, E. X,",The March Hare murders,teamred | chirandom | chimyst
11896,1949,1949,1878,1949,f,uk,11.841217100817135,0.928213959162,random,1,"Wentworth, Patricia,",The Catherine-wheel,teamred | chirandom
11907,1950,1950,1921,1950,m,uk,14.064987632422117,0.944456878816,detective,1,"Crispin, Edmund,",Frequent hearses,chimyst | teamblack
11928,1950,1950,1912,1950,m,uk,12.564097847875242,0.816347919928,detective,1,"Symons, Julian,",The 31st of February,teamred | chimyst
11932,1950,1950,1878,1950,f,uk,11.72911633166814,0.870857047157,detective,1,"Wentworth, Patricia,",Through the wall,chirandom | teamblack | chimyst
20008,1951,1951,1916,1951,f,us,10.815627073430482,0.653920786626,detective,1,"Davis, Dorothy Salisbury,",A gentle murderer,chimyst | teamblack
20026,1951,1951,1910,1951,m,us,13.157851965245033,0.273474146991,random,1,"Merwin, Sam,",The house of many worlds,teamred | chirandom | chiscifi
20032,1951,1951,1918,1951,m,us,9.733593812612078,0.952340570952,detective,1,"Spillane, Mickey,",The big kill,teamred | chimyst | hardboiled
20044,1952,1952,1920,1952,m,us,12.975748416452278,0.0527268266889,random,1,"Asimov, Isaac,",Foundation and empire,chiscifi | chirandom | teamblack | stew
20049,1952,1952,1906,1952,m,us,11.213298707762226,0.915056642089,detective,1,"Brown, Fredric,",Deep end,teamred | chimyst | stew
20070,1952,1952,1914,1952,m,us,12.042319390842641,0.149224009098,random,1,"Malamud, Bernard",The natural,chirandom | teamblack
20075,1952,1952,1908,1952,m,us,10.535373681301458,0.913138900235,detective,1,"Powell, Richard,",A shot in the dark,chirandom | teamblack | chimyst
20078,1952,1952,1918,1952,m,us,9.876644591273832,0.902002456255,detective,1,"Spillane, Mickey,",Kiss me: deadly,chirandom | teamblack | stew | chimyst | hardboiled
20079,1952,1952,1922,1952,m,us,13.834171952491188,0.198754487759,random,1,"Vonnegut, Kurt,",Player piano,chiscifi | chirandom | teamblack | stew
20083,1953,1953,1920,1953,m,us,13.034514875843332,0.0419329303263,random,1,"Asimov, Isaac,",Second foundation,teamred | chirandom | stew | chiscifi
20089,1953,1953,1906,1953,m,us,11.814125320198078,0.0558387089497,random,1,"Brown, Fredric,",The lights in the sky are,teamred | chirandom | stew | chiscifi
20102,1953,1953,1905,1953,f,us,10.446816759410861,0.270997416996,random,1,"Lasswell, Mary,",Tooner Schooner,teamred | chirandom
20114,1953,1953,1909,1953,m,us,11.921486009219294,0.00280769100268,random,1,"Pangborn, Edgar,",West of the sun,chiscifi | chirandom | teamblack | stew
20136,1954,1954,1916,1954,m,us,14.637754650255225,0.022908588887,random,1,"Foote, Shelby,",Jordan County,teamred | chirandom
20151,1954,1954,1912,1954,m,us,11.179102222905447,0.0140227456748,random,1,"Manfred, Frederick Feikem",Lord Grizzly,teamred | chirandom
20162,1954,1954,1890,1954,f,us,11.208497888609386,0.963349269675,detective,1,"Reilly, Helen,",Tell her it's murder,chimyst | teamblack
20163,1954,1954,1916,1954,m,us,10.26550951171134,0.484635144558,random,1,"Robbins, Harold,",Never leave me,chirandom | teamblack
20176,1955,1955,1890,1955,f,us,10.761921723300729,0.938597037165,detective,1,"Crane, Frances,",Death in lilac time,teamred | chimyst
20194,1955,1955,1912,1955,f,us,14.084388473191284,0.122984868505,random,1,"McCarthy, Mary",A charmed life,teamred | chirandom
20205,1955,1955,1886,1955,m,us,12.106574377525297,0.9856787183,detective,1,"Stout, Rex,",Before midnight,teamred | chimyst
20218,1956,1956,1901,1956,m,us,11.835795260055944,0.959141524338,detective,1,"Coxe, George Harmon,",Man on a rope,chimyst | teamblack
20219,1956,1956,1890,1956,f,us,10.73856943286809,0.959423442028,detective,1,"Crane, Frances,",Horror on the Ruby X,chimyst | teamblack
20233,1956,1956,1907,1956,m,us,11.42250088597779,0.46684699533,random,1,"Heinlein, Robert A.",Double star,teamred | chirandom | chiscifi
20240,1956,1956,1916,1956,m,us,10.440790621742275,0.888754575192,random,1,"MacDonald, John D.",You live once,chirandom | teamblack
20270,1957,1957,1928,1957,m,us,12.337953795141683,0.233193039688,random,1,"Dick, Philip K,",Eye in the sky,chiscifi | chirandom | teamblack
20290,1957,1957,1897,1957,f,us,14.656569712212525,0.00392322844265,random,1,"Malvern, Gladys,",My lady: my love,chirandom | teamblack
20335,1958,1958,1907,1958,f,us,12.26344940185984,0.558905330721,random,1,"MacInnes, Helen,",North from Rome,chirandom | teamblack
20350,1958,1958,1912,1958,m,us,15.22002140075332,0.08585593058,random,1,"Taylor, Robert Lewis,",The travels of Jaimie McP,teamred | chirandom
20352,1958,1958,1932,1958,m,us,14.059487289403368,0.0876020647363,random,1,"Updike, John,",The poorhouse fair,chirandom | teamblack
20371,1959,1959,1889,1959,m,us,12.111494225685442,0.996503944201,detective,1,"Gardner, Erle Stanley,",The case of the deadly to,teamred | chimyst | det100
20380,1959,1959,0,1959,f,us,11.599268071144577,0.0160603609365,random,1,"Kirkland, Elithe Hamilton",Love is a wild assault,chirandom | teamblack
20390,1959,1959,1903,1959,f,us,14.518786682194005,0.00108529293566,random,1,"Nin, Anais,",Children of the albatross,teamred | chirandom
20393,1959,1959,1886,1959,m,us,11.646279453684658,0.991494981612,detective,1,"Stout, Rex,",Plot it yourself,teamred | chimyst
20414,1960,1960,1907,1960,f,us,12.706537891241378,0.484595391478,random,1,"MacInnes, Helen,",Decision at Delphi,chirandom | teamblack
20417,1960,1960,1926,1960,m,us,12.345405705572771,0.879981582359,detective,1,"McBain, Ed,",Give the boys a great big,chimyst | teamblack | stew
20428,1960,1960,1926,1960,m,us,13.722804802056213,0.0128328672834,random,1,"Sigal, Clancy,",Weekend in Dinlock,chirandom | teamblack
20433,1960,1960,1916,1960,m,us,11.182721486935588,0.848461240456,detective,1,"Vance, Jack,",The man in the cage,teamred | chimyst
20471,1961,1961,1916,1961,m,us,10.65924938404149,0.261947600288,random,1,"Robbins, Harold,",The carpetbaggers,teamred | chirandom
20474,1961,1961,1886,1961,m,us,11.616133627909681,0.997136612769,detective,1,"Stout, Rex,",The final deduction,chirandom | teamblack | chimyst
20481,1962,1962,1914,1962,m,us,9.986243661212397,0.0594859703358,random,1,"Burroughs, William S.",The ticket that exploded,chirandom | teamblack
20522,1962,1962,1921,1962,m,us,13.858878169908598,0.980361976433,detective,1,"Shannon, Dell,",Extra kill,chimyst | teamblack
20526,1962,1962,1886,1962,m,us,11.813264470083439,0.994251236643,detective,1,"Stout, Rex,",Gambit,chirandom | teamblack | chimyst
20533,1963,1963,1900,1963,f,us,14.524694463849094,0.0160436892397,random,1,"Caldwell, Taylor,",Grandmother and the pries,chirandom | teamblack
20544,1963,1963,1922,1963,m,us,30.236592692962834,0.0226005897771,random,1,"Kerouac, Jack,",Visions of Gerard,chirandom | teamblack
20582,1964,1964,1914,1964,m,us,15.060535194174463,0.00265954830348,random,1,"Fast, Howard,",Agrippa's daughter,chirandom | teamblack
20618,1965,1965,1911,1965,m,us,11.674070931241888,0.906023846785,detective,1,"Ball, John Dudley,",In the heat of the night,teamred | chimyst
20620,1965,1965,0,1965,m,guyana,12.394191703600992,0.420349873655,random,1,"Braithwaite, E. R.  (Edwa",Choice of straws,chirandom | teamblack
20642,1965,1965,1916,1965,m,us,11.485153872623817,0.736354581179,detective,1,"MacDonald, John D.",A deadly shade of gold,teamred | chirandom | chimyst
20648,1965,1965,1925,1965,m,us,11.624412395966996,0.0138300972649,random,1,"Moore, Robin,",The green berets,chirandom | teamblack
20649,1965,1965,1899,1965,m,us,16.818250253123782,0.766204274358,random,1,"Nabokov, Vladimir Vladimi",The eye,teamred | chirandom
20653,1965,1965,1921,1965,m,us,11.509469024535424,0.703095384224,detective,1,"Prather, Richard S,",The meandering corpse,teamred | chimyst
20665,1965,1965,1903,1965,m,us,13.107498585836051,0.188717842621,random,1,"Traver, Robert,",Laughing whitefish,chirandom | teamblack
20677,1966,1966,1922,1966,m,us,11.853268485695017,0.000344624957375,random,1,"Capps, Benjamin,",A woman of the people,teamred | chirandom
